Artist Name,Album Name,Track Number,Song Title,Song Length,Year
Hop Along,"Bark Your Head Off, Dog",1,How Simple,3:48,2018
Hop Along,"Bark Your Head Off, Dog",2,Somewhere a Judge,3:52,2018
Hop Along,"Bark Your Head Off, Dog",3,How You Got Your Limp,2:36,2018
Hop Along,"Bark Your Head Off, Dog",4,Not Abel,4:36,2018
Hop Along,"Bark Your Head Off, Dog",5,The Fox in Motion,3:59,2018
Hop Along,"Bark Your Head Off, Dog",6,One That Suits Me,5:16,2018
Hop Along,"Bark Your Head Off, Dog",7,What the Writer Meant,4:06,2018
Hop Along,"Bark Your Head Off, Dog",8,Look of Love,6:11,2018
Hop Along,"Bark Your Head Off, Dog",9,Prior Things,5:42,2018
Wye Oak,"The Louder I Call, The Faster It Runs",1,(tuning),0:37,2018
Wye Oak,"The Louder I Call, The Faster It Runs",2,The Instrument,3:21,2018
Wye Oak,"The Louder I Call, The Faster It Runs",3,"The Louder I Call, The Faster It Runs",4:23,2018
Wye Oak,"The Louder I Call, The Faster It Runs",4,Lifer,3:32,2018
Wye Oak,"The Louder I Call, The Faster It Runs",5,It Was Not Natural,4:05,2018
Wye Oak,"The Louder I Call, The Faster It Runs",6,Symmetry,4:06,2018
Wye Oak,"The Louder I Call, The Faster It Runs",7,My Signal,1:36,2018
Wye Oak,"The Louder I Call, The Faster It Runs",8,Say Hello,3:44,2018
Wye Oak,"The Louder I Call, The Faster It Runs",9,Over and Over,2:54,2018
Wye Oak,"The Louder I Call, The Faster It Runs",10,You of All People,3:55,2018
Wye Oak,"The Louder I Call, The Faster It Runs",11,Join,2:55,2018
Wye Oak,"The Louder I Call, The Faster It Runs",12,I Know It's Real,3:20,2018
Kendrick Lamar,DAMN,1,BLOOD.,1:58,2017
Kendrick Lamar,DAMN,2,DNA.,3:05,2017
Kendrick Lamar,DAMN,3,YAH.,2:40,2017
Kendrick Lamar,DAMN,4,ELEMENT.,3:28,2017
Kendrick Lamar,DAMN,5,FEEL.,3:34,2017
Kendrick Lamar,DAMN,6,LOYALTY. (featuring Rihanna),3:47,2017
Kendrick Lamar,DAMN,7,PRIDE.,4:35,2017
Kendrick Lamar,DAMN,8,HUMBLE.,2:57,2017
Kendrick Lamar,DAMN,9,LUST.,5:07,2017
Kendrick Lamar,DAMN,10,LOVE. (featuring Zacari),3:33,2017
Kendrick Lamar,DAMN,11,XXX. (featuring U2),4:14,2017
Kendrick Lamar,DAMN,12,FEAR.,7:40,2017
Kendrick Lamar,DAMN,13,GOD.,4:08,2017
Kendrick Lamar,DAMN,14,DUCKWORTH.,4:08,2017
Janelle Monáe,Dirty Computer,1,Dirty Computer (featuring Brian Wilson),1:59,2018
Janelle Monáe,Dirty Computer,2,"Crazy, Classic, Life",4:46,2018
Janelle Monáe,Dirty Computer,3,Take a Byte,4:07,2018
Janelle Monáe,Dirty Computer,4,Jane's Dream,0:18,2018
Janelle Monáe,Dirty Computer,5,Screwed (featuring Zoë Kravitz),5:02,2018
Janelle Monáe,Dirty Computer,6,Django Jane,3:10,2018
Janelle Monáe,Dirty Computer,7,Pynk (featuring Grimes),4:00,2018
Janelle Monáe,Dirty Computer,8,Make Me Feel,3:14,2018
Janelle Monáe,Dirty Computer,9,I Got the Juice (featuring Pharrell Williams),3:46,2018
Janelle Monáe,Dirty Computer,10,I Like That,3:20,2018
Janelle Monáe,Dirty Computer,11,Don't Judge Me,6:00,2018
Janelle Monáe,Dirty Computer,12,Stevie's Dream,0:46,2018
Janelle Monáe,Dirty Computer,13,So Afraid,4:04,2018
Janelle Monáe,Dirty Computer,14,Americans,4:06,2018
Unknown Mortal Orchestra,Sex & Food,1,A God Called Hubris,0:41,2018
Unknown Mortal Orchestra,Sex & Food,2,Major League Chemicals,3:53,2018
Unknown Mortal Orchestra,Sex & Food,3,Ministry of Alienation,3:43,2018
Unknown Mortal Orchestra,Sex & Food,4,Hunnybee,4:28,2018
Unknown Mortal Orchestra,Sex & Food,5,Chronos Feasts on His Children,1:42,2018
Unknown Mortal Orchestra,Sex & Food,6,American Guilt,4:33,2018
Unknown Mortal Orchestra,Sex & Food,7,The Internet of Love (That Way),4:57,2018
Unknown Mortal Orchestra,Sex & Food,8,Everyone Acts Crazy Nowadays,4:15,2018
Unknown Mortal Orchestra,Sex & Food,9,This Doomsday,3:32,2018
Unknown Mortal Orchestra,Sex & Food,10,How Many Zeros,3:25,2018
Unknown Mortal Orchestra,Sex & Food,11,Not in Love We're Just High,3:38,2018
Unknown Mortal Orchestra,Sex & Food,12,If You’re Going to Break Yourself,4:38,2018
Kendrick Lamar,"good kid, m.A.A.d city",1,Sherane a.k.a Master Splinter's Daughter,4:33,2013
Kendrick Lamar,"good kid, m.A.A.d city",2,"Bitch, Don't Kill My Vibe",5:10,2013
Kendrick Lamar,"good kid, m.A.A.d city",3,Backseat Freestyle,3:32,2013
Kendrick Lamar,"good kid, m.A.A.d city",4,The Art of Peer Pressure,5:24,2013
Kendrick Lamar,"good kid, m.A.A.d city",5,Money Trees (featuring Jay Rock),6:26,2013
Kendrick Lamar,"good kid, m.A.A.d city",6,Poetic Justice (featuring Drake),5:00,2013
Kendrick Lamar,"good kid, m.A.A.d city",7,Good Kid,3:34,2013
Kendrick Lamar,"good kid, m.A.A.d city",8,M.A.A.D City (featuring MC Eiht),5:50,2013
Kendrick Lamar,"good kid, m.A.A.d city",9,Swimming Pools (Drank) (Extended Version),5:13,2013
Kendrick Lamar,"good kid, m.A.A.d city",10,"Sing About Me, I'm Dying of Thirst",12:03,2013
Kendrick Lamar,"good kid, m.A.A.d city",11,Real (featuring Anna Wise),7:23,2013
Kendrick Lamar,"good kid, m.A.A.d city",12,Compton (featuring Dr. Dre),4:08,2013
Drake,More Life,1,Free Smoke,3:39,2017
Drake,More Life,2,No Long Talk (featuring Giggs),2:30,2017
Drake,More Life,3,Passionfruit,4:59,2017
Drake,More Life,4,Jorja Interlude,1:48,2017
Drake,More Life,5,Get It Together (featuring Black Coffee and Jorja Smith),4:10,2017
Drake,More Life,6,Madiba Riddim,3:25,2017
Drake,More Life,7,Blem,3:37,2017
Drake,More Life,8,4422 (featuring Sampha),3:06,2017
Drake,More Life,9,Gyalchester,3:09,2017
Drake,More Life,10,Skepta Interlude,2:23,2017
Drake,More Life,11,Portland (featuring Quavo and Travis Scott),3:57,2017
Drake,More Life,12,Sacrifices (featuring 2 Chainz and Young Thug),5:08,2017
Drake,More Life,13,Nothings Into Somethings,2:34,2017
Drake,More Life,14,Teenage Fever,3:40,2017
Drake,More Life,15,KMT (featuring Giggs),2:43,2017
Drake,More Life,16,Lose You,5:05,2017
Drake,More Life,17,Can't Have Everything,3:48,2017
Drake,More Life,18,Glow (featuring Kanye West),3:26,2017
Drake,More Life,19,Since Way Back (featuring PartyNextDoor),6:08,2017
Drake,More Life,20,Fake Love,3:32,2017
Drake,More Life,21,Ice Melts (featuring Young Thug),4:11,2017
Drake,More Life,22,Do Not Disturb,4:44,2017
The Shins,The Worm's Heart,1,The Fear (flipped),4:41,2018
The Shins,The Worm's Heart,2,So Now What (flipped),4:18,2018
The Shins,The Worm's Heart,3,Heartworms (flipped),3:09,2018
The Shins,The Worm's Heart,4,Dead Alive (flipped),4:34,2018
The Shins,The Worm's Heart,5,Half a Million (flipped),3:27,2018
The Shins,The Worm's Heart,6,Rubber Ballz (flipped),3:30,2018
The Shins,The Worm's Heart,7,Mildenhall (flipped),4:17,2018
The Shins,The Worm's Heart,8,Fantasy Island (flipped),3:27,2018
The Shins,The Worm's Heart,9,Cherry Hearts (flipped),2:52,2018
The Shins,The Worm's Heart,10,Painting a Hole (flipped),3:10,2018
The Shins,The Worm's Heart,11,Name for You (flipped),4:01,2018
The Shins,Heartworms,1,Name for You,3:09,2017
The Shins,Heartworms,2,Painting a Hole,4:44,2017
The Shins,Heartworms,3,Cherry Hearts,3:33,2017
The Shins,Heartworms,4,Fantasy Island,4:46,2017
The Shins,Heartworms,5,Mildenhall,3:19,2017
The Shins,Heartworms,6,Rubber Ballz,3:17,2017
The Shins,Heartworms,7,Half a Million,3:23,2017
The Shins,Heartworms,8,Dead Alive,3:34,2017
The Shins,Heartworms,9,Heartworms,2:56,2017
The Shins,Heartworms,10,So Now What,3:38,2017
The Shins,Heartworms,11,The Fear,5:25,2017
